Word	Tag
play	O
music	O
by	O
papa	B-artist
charlie	I-artist
jackson	I-artist
play	O
the	B-song
prisoner's	I-song
song	I-song
by	CC
bertha	B-artist
"""chippie"""	I-artist
hill	I-artist
play	O
careless	B-song
love	I-song
blues	I-song
play	O
some	O
bertha	B-playlist
"""chippie"""	I-playlist
hill	I-playlist
play	O
music	O
from	O
bertha	B-playlist
"""chippie"""	I-playlist
hill	I-playlist
play	O
something	O
from	O
bertha	B-playlist
chippie	I-playlist
hill	I-playlist
play	O
something	O
by	O
bertha	B-artist
"""chippie"""	I-artist
hill	I-artist
play	O
music	O
by	O
bertha	B-artist
chippie	I-artist
hill	I-artist
play	O
cast	B-song
away	I-song
by	CC
bessie	B-artist
smith	I-artist
play	O
pickin'	B-song
on	I-song
your	I-song
baby	I-song
play	O
some	O
bessie	B-playlist
smith	I-playlist
play	O
music	O
from	O
blind	B-playlist
blake	I-playlist
play	O
something	O
from	O
blind	B-playlist
blake	I-playlist
play	O
something	O
by	O
blind	B-artist
blake	I-artist
play	O
music	O
by	O
blind	B-artist
blake	I-artist
play	O
pickin'	B-song
on	I-song
your	I-song
baby	I-song
by	CC
blind	B-artist
blake	I-artist
play	O
all	B-song
i	I-song
want	I-song
is	I-song
a	I-song
spoonful	I-song
play	O
some	O
blind	B-playlist
blake	I-playlist
play	O
music	O
from	O
blind	B-playlist
blake	I-playlist
play	O
something	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
by	O
blind	B-artist
blake	I-artist
play	O
music	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
maxwell	B-song
street	I-song
blues	I-song
by	CC
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
shake	B-song
that	I-song
thing	I-song
play	O
some	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
music	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
music	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
georgia	B-song
man	I-song
by	CC
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
trouble	B-song
in	I-song
mind	I-song
play	O
some	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
music	O
from	O
blind	B-playlist
lemon	I-playlist
jefferson	I-playlist
play	O
something	O
from	O
joe	B-playlist
venuti_	I-playlist
eddie	I-playlist
lang	I-playlist
play	O
something	O
by	O
blind	B-artist
lemon	I-artist
jefferson	I-artist
play	O
music	O
by	O
joe	B-artist
venuti_	I-artist
eddie	I-artist
lang	I-artist
play	O
trouble	B-song
in	I-song
mind	I-song
by	CC
sippie	B-artist
wallace	I-artist
play	O
the	B-song
gin	I-song
house	I-song
blues	I-song
play	O
some	O
sippie	B-playlist
wallace	I-playlist
play	O
music	O
from	O
sippie	B-playlist
wallace	I-playlist
play	O
something	O
from	O
sippie	B-playlist
wallace	I-playlist
play	O
something	O
by	O
sippie	B-artist
wallace	I-artist
play	O
music	O
by	O
sippie	B-artist
wallace	I-artist
play	O
west	B-song
coast	I-song
blues	I-song
by	CC
sippie	B-artist
wallace	I-artist
play	O
west	B-song
coast	I-song
blues	I-song
