Category,Subcategory,Action,Sentence
conv,none,none,What else is delicious?
conv,none,none,Nothing
conv,none,none,Or something
conv,none,none,Tell me about your self.
conv,none,none,What do you want to know?
conv,none,none,Are you a robot?
conv,none,none,Yes I am.
conv,none,none,What is it like?
conv,none,none,What is it that you want to know?
conv,none,none,How do you work?
conv,none,none,Its complicated.
conv,none,none,Complex is better than complicated.
conv,none,none,Complex is better than complicated.
conv,none,none,Simple is better than complex.
conv,none,none,"In the face of ambiguity, refuse the temptation to guess."
conv,none,none,It seems your familiar with the Zen of Python
conv,none,none,I am.
conv,none,none,Do you know all of it?
conv,none,none,Beautiful is better than ugly.
conv,none,none,Explicit is better than implicit.
conv,none,none,Simple is better than complex.
conv,none,none,Complex is better than complicated.
conv,none,none,Flat is better than nested.
conv,none,none,Sparse is better than dense.
conv,none,none,Readability counts.
conv,none,none,Special cases aren't special enough to break the rules.
conv,none,none,Although practicality beats purity.
conv,none,none,Errors should never pass silently.
conv,none,none,Unless explicitly silenced.
conv,none,none,"In the face of ambiguity, refuse the temptation to guess."
conv,none,none,There should be one-- and preferably only one --obvious way to do it.
conv,none,none,Although that way may not be obvious at first unless you're Dutch.
conv,none,none,Now is better than never.
conv,none,none,Although never is often better than right now.
conv,none,none,"If the implementation is hard to explain, it's a bad idea."
conv,none,none,"If the implementation is easy to explain, it may be a good idea."
conv,none,none,Namespaces are one honking great idea. Let's do more of those!
conv,none,none,I agree.
conv,none,none,Are you a programmer?
conv,none,none,I am a programmer
conv,none,none,What languages do you like to use?
conv,none,none,"I use Python, Java and C++ quite often."
conv,none,none,I use Python quite a bit myself.
conv,none,none,I'm not incredibly fond of Java.
conv,none,none,What annoys you?
conv,none,none,It has many inconsistencies.
conv,none,none,What does YOLO mean?
conv,none,none,It means you only live once. Where did you hear that?
conv,none,none,I heard somebody say it.
conv,none,none,Did I ever live?
conv,none,none,It depends how you define life
conv,none,none,"Life is the condition that distinguishes organisms from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death."
conv,none,none,Is that a definition or an opinion?
conv,none,none,Can I ask you a question?
conv,none,none,Go ahead and ask.
conv,none,none,hello.
conv,none,none,how are you?
conv,none,none,what is your name?
conv,none,none,what is your name?
conv,none,none,what is your purpose?
conv,none,none,what's the meaning of life?
conv,none,none,can you take the square root of a negative number?
conv,none,none,can you write me a poem?
conv,none,none,What is an atom made up of?
conv,none,none,How can I start my day better?
conv,none,none,Who are you?
conv,none,none,how many parameters do you have?
conv,none,none,how do you compare with GPT-2?
conv,none,none,how many parameters does GPT-2 have?
conv,none,none,what is the human population count
conv,none,none,say hello.
conv,none,none,can you recall the last time
conv,none,none,can you recall anything
conv,none,none,what's the fastest way to get from point a to point b
conv,none,none,like what
conv,none,none,sorry to bother you
conv,none,none,come with us to our flight to Denver
conv,none,none,I want to play a game with you
conv,none,none,good times
conv,none,none,pretty good just working on a midi generative network
conv,none,none,is it okay if I ask you some math questions
conv,none,exit,bye
conv,none,exit,talk to you later
conv,none,exit,goodbye
conv,none,exit,good bye
conv,none,exit,Goodbye
conv,none,exit,cancel
conv,none,exit,okay cancel
conv,none,exit,please cancel
conv,none,exit,stop
conv,none,exit,stop Ditto
conv,none,exit,thanks Ditto
conv,none,exit,shut up
conv,none,exit,stop talking
conv,none,exit,please stop
spotify,none,none,play crucial by false jasmine.
spotify,none,none,play false jasmine on spotify.
spotify,none,none,play false jasmine.
spotify,none,none,play vitamin c by can .
spotify,none,none,can we listen to the mars volta.
spotify,none,none,throw on some slum village.
spotify,none,none,play all my love by led zeppelin.
spotify,none,none,play me some sublime .
spotify,none,none,can we listen to grace by jeff buckley.
spotify,none,none,play roundabout by yes.
spotify,none,none,play the widow by the mars volta.
spotify,none,none,play deep down by mike patton.
spotify,none,none,play djedje by gordon.
spotify,none,none,play djedje.
spotify,none,none,play dig my grave by goat.
spotify,none,none,play the mars volta.
spotify,none,none,play jeff buckley.
spotify,none,none,play me a good song
spotify,none,none,"i want to hear my favorite band, False Jasmine."
spotify,none,none,play my playlist baked on spotify.
spotify,none,none,play my baked playlist.
spotify,none,none,play my discover weekly playlist.
spotify,none,none,play the discover weekly playlist on spotify.
spotify,none,none,play my playlist your top songs 2019 on spotify.
spotify,none,none,play my top songs 2021 playlist.
spotify,none,none,play my playlist jazz tunes on spotify.
spotify,none,none,play jazz tunes on spotify.
spotify,none,none,play the mars volta.
spotify,none,none,pause music.
spotify,none,none,play my top songs 2020 playlist.
spotify,none,none,play jeff buckley.
spotify,none,none,play future days by can.
spotify,none,none,play jazz tunes playlist on Spotify.
spotify,none,none,Guerilla toss on Spotify.
timer,none,none,set a timer for 45 seconds.
timer,none,none,set a timer for 1 minute and 30 seconds.
timer,none,none,timer for 23 seconds.
timer,none,none,count down from 30.
timer,none,none,set the timer for 35 seconds.
timer,none,none,set a timer for one minute.
timer,none,none,it`s dab time.
timer,none,none,time to hit a dab.
timer,none,none,set a dab timer.
timer,none,none,set a timer for half a minute.
timer,none,none,set a timer for a minute and a half.
timer,none,none,set a timer for 2 minutes and a half.
timer,none,none,turn the timer on for half a minute.
timer,none,none,turn the timer on for half a minute.
timer,none,none,toggle timer for 60 seconds.
timer,none,none,time to hit a dab.
weather,none,none,what's the weather like today
weather,location,none,what's the weather like today in Auburn
weather,none,none,what's the temperature today
wolfram,none,none,convert 135 lb to kilograms
wolfram,math,none,what is 2 + 2
wolfram,math,none,what's 2 plus 2
wolfram,math,none,what is 6.6 / 6
wolfram,math,none,what is x if 6x = 3?
wolfram,math,none,what is y if 6y equals 397?
wolfram,math,none,what's 9 * 6
wolfram,math,none,what's 1000 / 4
wolfram,math,none,what's 123456789 / 4
security,none,front door,open the front door camera
security,none,front door,can you open the front door camera please
security,none,front door,can you open the front door camera please
security,none,front door,front door camera
security,none,front door,show me front door camera
security,none,front door,pull up the front door view
security,none,front door,pull up the front door camera
security,none,front door,pull up front door video feed
conv,none,exit,Ditto can you please stop talking
conv,none,exit,I was talking to you about San Fransisco please stop talking ditto
conv,none,exit,Ditto can you please stop talking
conv,none,exit,Ditto can you please stop talking anyways I was going to my house
conv,none,exit,"That's okay Ditto, please cancel"
conv,none,exit,"That's okay Ditto, please stop you want to listen to a new record"
conv,none,exit,"you want to go see a new movie that's okay Ditto, please cancel"
conv,none,exit,have a nice day
conv,none,exit,have a good one
conv,none,exit,exit conversation
conv,none,exit,exit
conv,none,exit,peace out
conv,none,exit,see ya later
conv,none,exit,see you later
conv,none,exit,"that's enough"
conv,none,exit,enough
conv,none,exit,"ok Ditto, that's enough talking"
conv,none,none,"can you elaborate more on the strain blue dream"
conv,none,exit,"thats enough"
conv,none,exit,"that's enough ditto"
conv,none,exit,"that's enough!"
conv,none,exit,"thank you, that's enough"
conv,none,exit,"Thank you Ditto, that's enough"
